length,molecular_weight,aromaticity,instability_index,isoelectric_point,gravy,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,label
586,66407.57849999999,0.03754266211604096,49.82832764505127,5.10541477203369,-0.7882252559726963,0.08703071672354949,0.008532423208191127,0.052901023890784986,0.1348122866894198,0.006825938566552901,0.040955631399317405,0.011945392491467578,0.03583617747440273,0.06655290102389079,0.11092150170648464,0.023890784982935155,0.034129692832764506,0.02218430034129693,0.052901023890784986,0.08191126279863481,0.08703071672354949,0.059726962457337884,0.051194539249146756,0.006825938566552901,0.023890784982935155,nuclear
620,69947.5737,0.041935483870967745,56.66903225806469,5.498626899719238,-0.8193548387096774,0.09193548387096774,0.0032258064516129032,0.04838709677419355,0.13709677419354838,0.017741935483870968,0.06290322580645161,0.012903225806451613,0.01935483870967742,0.06290322580645161,0.11129032258064517,0.024193548387096774,0.01935483870967742,0.027419354838709678,0.0532258064516129,0.1,0.08709677419354839,0.04032258064516129,0.056451612903225805,0.0064516129032258064,0.017741935483870968,nuclear
526,60298.3459,0.10266159695817491,48.64068441064648,8.478575706481934,-0.3979087452471483,0.045627376425855515,0.028517110266159697,0.049429657794676805,0.06653992395437262,0.043726235741444866,0.06653992395437262,0.013307984790874524,0.057034220532319393,0.06273764258555133,0.10266159695817491,0.026615969581749048,0.045627376425855515,0.03612167300380228,0.055133079847908745,0.06463878326996197,0.08745247148288973,0.03802281368821293,0.051330798479087454,0.019011406844106463,0.039923954372623575,nuclear
532,60010.70640000001,0.07142857142857142,36.55678571428571,8.922440528869632,-0.5723684210526315,0.05639097744360902,0.043233082706766915,0.03007518796992481,0.07330827067669173,0.041353383458646614,0.06390977443609022,0.05827067669172932,0.04887218045112782,0.09022556390977443,0.07330827067669173,0.011278195488721804,0.04887218045112782,0.03571428571428571,0.05827067669172932,0.043233082706766915,0.07518796992481203,0.05451127819548872,0.06390977443609022,0.009398496240601503,0.020676691729323307,nuclear
1271,140517.66979999997,0.056648308418568064,62.50701022816718,8.410754966735844,-0.6705743509047994,0.04878048780487805,0.004720692368214005,0.04956726986624705,0.06215578284815106,0.03540519276160504,0.06530291109362707,0.01809598741148702,0.05350118017309206,0.046420141620771044,0.06215578284815106,0.013375295043273014,0.04799370574350905,0.12037765538945712,0.07081038552321008,0.06845003933910307,0.08497246262785209,0.04878048780487805,0.07789142407553108,0.00865460267505901,0.012588512981904013,nuclear
498,56800.854600000006,0.10441767068273093,43.65847389558235,9.187341117858885,-0.5130522088353414,0.07228915662650602,0.028112449799196786,0.05823293172690763,0.04819277108433735,0.04819277108433735,0.05622489959839357,0.02610441767068273,0.06827309236947791,0.0642570281124498,0.06827309236947791,0.018072289156626505,0.04618473895582329,0.03815261044176707,0.04417670682730924,0.07630522088353414,0.08433734939759036,0.05622489959839357,0.04216867469879518,0.008032128514056224,0.04819277108433735,nuclear
361,41449.9019,0.02493074792243767,73.91274238227152,10.646582984924319,-1.3664819944598339,0.1329639889196676,0.00554016620498615,0.030470914127423823,0.11911357340720222,0.008310249307479225,0.05263157894736842,0.008310249307479225,0.013850415512465374,0.13019390581717452,0.0886426592797784,0.008310249307479225,0.01662049861495845,0.04155124653739612,0.06925207756232687,0.14681440443213298,0.04709141274238227,0.0332409972299169,0.030470914127423823,0.008310249307479225,0.008310249307479225,nuclear
215,23626.504399999998,0.06976744186046512,57.88744186046509,9.691354942321777,-0.7581395348837209,0.13023255813953488,0.009302325581395349,0.037209302325581395,0.06511627906976744,0.03255813953488372,0.08837209302325581,0.05581395348837209,0.023255813953488372,0.06511627906976744,0.08837209302325581,0.013953488372093023,0.018604651162790697,0.10697674418604651,0.04186046511627907,0.07906976744186046,0.05581395348837209,0.027906976744186046,0.023255813953488372,0.013953488372093023,0.023255813953488372,nuclear
781,89383.5828,0.06017925736235595,58.716658130602035,5.7054639816284185,-0.7327784891165173,0.0499359795134443,0.012804097311139564,0.06402048655569782,0.10115236875800256,0.034571062740076826,0.034571062740076826,0.023047375160051217,0.06274007682458387,0.0793854033290653,0.09603072983354674,0.016645326504481434,0.03585147247119078,0.04225352112676056,0.05761843790012804,0.06402048655569782,0.11267605633802817,0.04481434058898848,0.04225352112676056,0.012804097311139564,0.012804097311139564,nuclear
261,29322.0514,0.0842911877394636,42.6758620689655,9.677171897888183,-0.5708812260536399,0.06513409961685823,0.011494252873563218,0.04597701149425287,0.06896551724137931,0.04597701149425287,0.09578544061302682,0.0421455938697318,0.03065134099616858,0.06513409961685823,0.08812260536398467,0.011494252873563218,0.022988505747126436,0.06130268199233716,0.02681992337164751,0.09195402298850575,0.06130268199233716,0.05363984674329502,0.07279693486590039,0.01532567049808429,0.022988505747126436,nuclear
